ID,Description
COG0431,NADPH-dependent FMN reductase
COG0432,Pfam Uncharacterised protein family UPF0047
COG0433,COG0433 Predicted ATPase
COG0435,Glutathione S-transferase
COG0436,Aminotransferase
COG0437,4 iron, 4 sulfur cluster binding
COG0438,transferase activity, transferring glycosyl groups
COG0439,Biotin carboxylase
COG0440,acetolactate synthase activity
COG0441,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)
COG0442,prolyl-tRNA aminoacylation
COG0443,Heat shock 70 kDa protein
COG0444,Belongs to the ABC transporter superfamily
COG0445,tRNA wobble uridine modification
COG0446,pyridine nucleotide-disulphide oxidoreductase
COG0447,Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4- dihydroxy-2-naphthoyl-CoA (DHNA-CoA)
COG0448,Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans
COG0449,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
COG0450,alkyl hydroperoxide reductase
COG0451,ADP-glyceromanno-heptose 6-epimerase activity
COG0452,Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine
3495V,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases
COG0454,-acetyltransferase
COG0455,bacterial-type flagellum organization
COG0456,acetyltransferase
30P6F,COG0457 FOG TPR repeat
31CX3,COG0457 FOG TPR repeat
32BXY,COG0457 FOG TPR repeat
32UY1,COG0457 FOG TPR repeat
COG0457,Tetratricopeptide repeat
COG5010,COG0457 FOG TPR repeat
COG0458,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
COG0459,protein refolding
COG0460,homoserine dehydrogenase
COG0461,Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)
COG0462,Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)
COG0463,Glycosyl transferase, family 2
COG0464,growth
COG0465,Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
COG0466,ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
COG0467,Core component of the KaiABC clock protein complex, which constitutes the main circadian regulator in cyanobacteria. Binds to DNA. The KaiABC complex may act as a promoter-nonspecific transcription regulator that represses transcription, possibly by acting on the state of chromosome compaction
COG0468,Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
COG0469,pyruvate kinase activity
COG0470,DNA polymerase III
COG0471,metal ion transport
COG0472,First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan
COG0473,3-isopropylmalate dehydrogenase activity
COG0474,ATPase, P-type transporting, HAD superfamily, subfamily IC
COG0475,glutathione-regulated potassium exporter activity
COG0476,Involved in molybdopterin and thiamine biosynthesis, family 2
2ZYPI,COG0477 permeases of the major facilitator superfamily
32SJN,COG0477 Permeases of the major facilitator superfamily
331EH,COG0477 Permeases of the major facilitator superfamily
COG0477,Major facilitator Superfamily
COG0479,Belongs to the succinate dehydrogenase fumarate reductase iron-sulfur protein family
COG0480,Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
COG0481,GTPase activity
COG0482,sulfurtransferase activity
COG0483,inositol monophosphate 1-phosphatase activity
31Q8Q,COG0484 DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0484,heat shock protein binding
COG0486,Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34
COG0488,(ABC) transporter
COG0489,protein tyrosine kinase activity
COG0490,domain, Protein
33YC2,COG0491 Zn-dependent hydrolases, including glyoxylases
COG0491,Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid
COG0492,ferredoxin-NADP+ reductase activity
COG0493,'glutamate synthase
COG0494,nUDIX hydrolase
COG0495,leucyl-tRNA aminoacylation
COG0496,Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates
COG0497,DNA recombination
COG0498,Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine
COG0499,May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine
2Z7Q4,COG0500 SAM-dependent methyltransferases
COG0500,methyltransferase
COG0501,Belongs to the peptidase M48B family
COG0502,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism
COG0503,Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis
COG0504,CTP synthase activity
COG0505,Belongs to the CarA family
COG0506,proline dehydrogenase activity
COG0507,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD
COG0508,dehydrogenase complex catalyzes the overall conversion of
COG0509,glycine decarboxylation via glycine cleavage system
COG0510,thiamine kinase activity
COG0511,ligase activity, forming carbon-carbon bonds
COG0512,Glutamine amidotransferase of anthranilate synthase
COG0513,Belongs to the DEAD box helicase family
COG0514,ATP-dependent DNA helicase (RecQ)
COG0515,serine threonine protein kinase
COG0516,GMP reductase activity
COG0517,IMP dehydrogenase activity
COG0518,GMP synthase (glutamine-hydrolyzing) activity
COG0519,Catalyzes the synthesis of GMP from XMP
COG0520,Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L- selenocystine to produce L-alanine
COG0521,Mo-molybdopterin cofactor biosynthetic process
COG0522,One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit
COG0523,cobalamin synthesis protein
COG0524,Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway
COG0525,valine-tRNA ligase activity
33ARA,COG0526, thiol-disulfide isomerase and thioredoxins
COG0526,COG0526, thiol-disulfide isomerase and thioredoxins
COG0527,aspartate kinase activity
COG0528,UMP kinase activity
COG0529,Catalyzes the synthesis of activated sulfate
COG0530,calcium, potassium:sodium antiporter activity
COG0531,amino acid
COG0532,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
COG0533,Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction
COG0534,Mate efflux family protein
COG0535,radical SAM domain protein
COG0536,An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control
COG0537,adenosine 5'-monophosphoramidase activity
COG0538,isocitrate dehydrogenase activity
COG0539,negative regulation of cytoplasmic translation
COG0540,Belongs to the ATCase OTCase family
COG0541,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY
COG0542,response to heat
COG0543,2 iron, 2 sulfur cluster binding
COG0544,peptidyl-prolyl cis-trans isomerase activity
33WIH,COG0545 FKBP-type peptidyl-prolyl cis-trans isomerases 1
COG0545,Peptidyl-prolyl cis-trans isomerase
COG0546,phosphoglycolate phosphatase activity
COG0547,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)
COG0548,Belongs to the acetylglutamate kinase family. ArgB subfamily
COG0549,Belongs to the carbamate kinase family
COG0550,Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone
COG0551,DNA topoisomerase type I activity
COG0552,protein localization to endoplasmic reticulum
COG0553,Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair
COG0554,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate
COG0555,PFAM binding-protein-dependent transport systems inner membrane component
COG0556,nucleotide-excision repair
COG0557,exoribonuclease II activity
COG0558,Belongs to the CDP-alcohol phosphatidyltransferase class-I family
COG0559,Belongs to the binding-protein-dependent transport system permease family
COG0560,Phosphoserine phosphatase
COG0561,phosphatase activity
COG0562,UDP-galactopyranose mutase
COG0563,adenylate kinase activity
COG0564,pseudouridine synthase activity
COG0565,Catalyzes the formation of 2'O-methylated cytidine (Cm32) or 2'O-methylated uridine (Um32) at position 32 in tRNA
COG0566,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
COG0567,Dehydrogenase, E1 component
COG0568,sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released
COG0569,domain protein
COG0571,ribonuclease III activity
COG0572,uridine kinase
COG0573,inorganic phosphate transmembrane transporter activity
COG0574,Belongs to the PEP-utilizing enzyme family
COG0575,Belongs to the CDS family
COG0576,Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ
2ZX55,COG0577 ABC-type antimicrobial peptide transport system, permease component
COG0577,efflux transmembrane transporter activity
COG0578,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
COG0579,oxidoreductase
32EI1,COG0580 Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)
COG0580,Belongs to the MIP aquaporin (TC 1.A.8) family
COG0581,inorganic phosphate transmembrane transporter activity
2ZXMI,COG0582 Integrase
COG0582,viral genome integration into host DNA
COG0583,DNA-binding transcription factor activity
COG0584,glycerophosphoryl diester phosphodiesterase
COG0586,Pfam SNARE associated Golgi protein
COG0587,DNA-directed DNA polymerase activity
COG0588,phosphoglycerate mutase activity
COG0589,response to stress
COG0590,tRNA wobble adenosine to inosine editing
COG0591,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
COG0592,DNA-directed DNA polymerase activity
COG0593,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
COG0594,ribonuclease P activity
COG0595,An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay
COG0596,Alpha beta hydrolase
COG0597,This protein specifically catalyzes the removal of signal peptides from prolipoproteins
COG0598,Magnesium transport protein CorA
COG0599,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity
COG0600,ABC-type nitrate sulfonate bicarbonate transport system permease component
COG0601,transmembrane transport
COG0602,queuosine metabolic process
COG0603,Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))
COG0604,alcohol dehydrogenase
COG0605,Destroys radicals which are normally produced within the cells and which are toxic to biological systems
COG0606,chelatase, subunit chli
COG0607,Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS
COG0608,single-stranded DNA 5'-3' exodeoxyribonuclease activity
COG0609,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
COG0610,Subunit R is required for both nuclease and ATPase activities, but not for modification
COG0611,Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1
COG0612,Peptidase, M16
COG0613,PHP domain protein
COG0614,abc-type fe3 -hydroxamate transport system, periplasmic component
COG0615,ADP-L-glycero-beta-D-manno-heptose biosynthetic process
COG0616,signal peptide processing
COG0617,tRNA 3'-terminal CCA addition
COG0618,3'(2'),5'-bisphosphate nucleotidase activity
COG0619,Transmembrane (T) component of an energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
COG0620,Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation
COG0621,Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine
COG0622,Phosphoesterase
COG0623,enoyl-[acyl-carrier-protein] reductase (NADH) activity
COG0624,Catalyzes the hydrolysis of N-succinyl-L,L- diaminopimelic acid (SDAP), forming succinate and LL-2,6- diaminoheptanedioate (DAP), an intermediate involved in the bacterial biosynthesis of lysine and meso-diaminopimelic acid, an essential component of bacterial cell walls
COG0625,glutathione transferase activity
COG0626,cystathionine gamma-synthase activity
COG0627,Serine hydrolase involved in the detoxification of formaldehyde
COG0628,permease
COG0629,single-stranded DNA binding
COG0631,protein serine/threonine phosphatase activity
COG0632,four-way junction helicase activity
COG0633,Ferredoxin
COG0634,Belongs to the purine pyrimidine phosphoribosyltransferase family
COG0635,Involved in the biosynthesis of porphyrin-containing compound
COG0636,F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
COG0637,HAD-superfamily hydrolase subfamily IA, variant 3
COG0639,Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP
COG0640,Transcriptional regulator
COG0641,radical SAM
33HFV,COG0642 Signal transduction histidine kinase
COG0642,Histidine kinase
33FZU,COG0643 Chemotaxis protein histidine kinase and related kinases
COG0643,Histidine kinase
COG0644,oxidoreductase
COG0645,Protein conserved in bacteria
COG0646,methionine synthase
COG0647,UMP catabolic process
COG0648,Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin
COG0649,NAD binding
COG0651,ATP synthesis coupled electron transport
COG0652,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
COG0653,protein targeting
COG0654,COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG0655,NAD(P)H dehydrogenase (quinone) activity
30FFA,COG COG0656 Aldo keto reductases, related to diketogulonate reductase
COG0656,L-ascorbic acid biosynthetic process
COG0657,acetylesterase activity
COG0658,competence protein
COG0659,secondary active sulfate transmembrane transporter activity
COG0661,Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis
COG0662,Cupin 2, conserved barrel domain protein
COG0663,COG0663 Carbonic anhydrases acetyltransferases, isoleucine patch superfamily
30HXX,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
COG0664,- Catabolite gene activator and regulatory subunit of cAMP-dependent protein
COG0665,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
2Z87K,COG0666 FOG Ankyrin repeat
COG0666,response to abiotic stimulus
COG0667,Aldo Keto reductase
COG0668,transmembrane transport
COG0669,Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate
COG0670,Belongs to the BI1 family
COG0671,phosphoesterase, PA-phosphatase related
COG0672,)-iron permease
COG0673,inositol 2-dehydrogenase activity
COG0674,pyruvate-flavodoxin oxidoreductase activity
COG0675,Transposase, IS605 OrfB family
COG0677,UDP-N-acetyl-D-mannosamine dehydrogenase activity
COG0678,peroxiredoxin activity
COG0679,Auxin Efflux Carrier
COG0680,Initiates the rapid degradation of small, acid-soluble proteins during spore germination
COG0681,Belongs to the peptidase S26 family
COG0682,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins
COG0683,leucine binding
COG0684,Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 molecules of pyruvate. Also contains a secondary oxaloacetate (OAA) decarboxylase activity due to the common pyruvate enolate transition state formed following C-C bond cleavage in the retro-aldol and decarboxylation reactions
COG0685,methylenetetrahydrofolate reductase (NAD(P)H) activity
COG0686,Belongs to the AlaDH PNT family
COG0687,Required for the activity of the bacterial periplasmic transport system of putrescine
COG0688,phosphatidylethanolamine metabolic process
COG0689,Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates
COG0690,P-P-bond-hydrolysis-driven protein transmembrane transporter activity
COG0691,Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene
COG0692,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
COG0693,protein deglycase activity
COG0694,Involved in iron-sulfur cluster biogenesis. Binds a 4Fe- 4S cluster, can transfer this cluster to apoproteins, and thereby intervenes in the maturation of Fe S proteins. Could also act as a scaffold chaperone for damaged Fe S proteins
COG0695,Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
COG0696,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
COG0697,spore germination
COG0698,ribose 5-phosphate isomerase
COG0699,ATPase. Has a role at an early stage in the morphogenesis of the spore coat
COG0700,Nucleoside recognition
COG0701,Predicted permease
COG0702,epimerase
COG0703,Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
COG0704,Plays a role in the regulation of phosphate uptake
COG0705,Rhomboid family
COG0706,membrane insertase activity
COG0707,Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)
COG0708,Exodeoxyribonuclease III
COG0709,Synthesizes selenophosphate from selenide and ATP
COG0711,Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)
COG0712,F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
COG0713,ATP synthesis coupled electron transport
COG0714,Associated with various cellular activities
COG0715,COG0715 ABC-type nitrate sulfonate bicarbonate transport systems periplasmic components
COG0716,FMN binding
COG0717,Belongs to the dCTP deaminase family
COG0718,Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection
COG0719,Fe-S assembly protein
COG0720,synthase
COG0721,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
COG0722,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
COG0723,plastoquinol--plastocyanin reductase activity
COG0725,ABC transporter, periplasmic molybdate-binding protein
COG0726,polysaccharide deacetylase
COG0727,PFAM Uncharacterised protein family (UPF0153)
COG0728,peptidoglycan biosynthetic process
COG0729,surface antigen
COG0730,response to heat
COG0732,type I restriction modification DNA specificity domain
COG0733,neurotransmitter:sodium symporter activity
COG0735,belongs to the Fur family
COG0736,holo-[acyl-carrier-protein] synthase activity
COG0737,Belongs to the 5'-nucleotidase family
COG0738,Major facilitator superfamily
COG0739,heme binding
COG0740,serine-type endopeptidase activity
2ZA7X,COG0741 Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM invasin domains)
COG0741,lytic transglycosylase activity
COG0742,ribosomal rna small subunit methyltransferase
COG0743,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
COG0744,Peptidoglycan polymerase that catalyzes glycan chain elongation from lipid-linked precursors
345V1,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
COG0745,RESPONSE REGULATOR receiver
COG0746,molybdenum cofactor guanylyltransferase activity
31P42,COG0747 ABC-type dipeptide transport system, periplasmic component
COG0747,negative chemotaxis
COG0748,coenzyme F420 binding
COG0749,In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity
COG0750,zinc metalloprotease
COG0751,glycine-tRNA ligase activity
COG0752,glycyl-tRNA synthetase alpha subunit
COG0753,catalase activity
COG0754,glutathionylspermidine amidase activity
COG0755,Required for the export of heme to the periplasm for the biogenesis of c-type cytochromes
COG0756,dUTP diphosphatase activity
COG0757,Catalyzes a trans-dehydration via an enolate intermediate
COG0758,DNA mediated transformation
COG0759,Could be involved in insertion of integral membrane proteins into the membrane
COG0760,Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation
COG0761,Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
COG0762,integral membrane protein
COG0763,Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
COG0764,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
COG0765,amino acid transport
COG0766,Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
31NQT,COG0767 ABC-type transport system involved in resistance to organic solvents, permease component
COG0767,ABC-type transport system involved in resistance to organic solvents, permease component
COG0768,penicillin binding
COG0769,Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan
COG0770,UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
COG0771,Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)
COG0772,Belongs to the SEDS family
COG0773,UDP-N-acetylmuramate-L-alanine ligase activity
COG0774,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
COG0775,Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively
COG0776,regulation of translation
COG0777,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA
COG0778,Nitroreductase
COG0779,Required for maturation of 30S ribosomal subunits
COG0780,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)
COG0781,Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons
COG0782,Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus
COG0783,Belongs to the Dps family
COG0784,Response regulator, receiver
COG0785,Cytochrome C biogenesis protein
COG0786,glutamate:sodium symporter activity
COG0787,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
COG0788,formyltetrahydrofolate deformylase activity
COG0789,Transcriptional regulator
31J2S,COG0790 FOG TPR repeat, SEL1 subfamily
32VVU,COG0790 FOG TPR repeat, SEL1 subfamily
COG0790,COG0790 FOG TPR repeat, SEL1 subfamily
COG0791,NLP P60 protein
COG0792,nuclease activity
COG0793,Belongs to the peptidase S41A family
COG0794,Belongs to the SIS family. GutQ KpsF subfamily
COG0795,lipopolysaccharide-transporting ATPase activity
COG0796,Provides the (R)-glutamate required for cell wall biosynthesis
COG0797,Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
COG0798,PFAM Bile acid sodium symporter
COG0799,negative regulation of ribosome biogenesis
COG0800,Aldolase
COG0801,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
COG0802,atpase or kinase
